#notes:data gathered manually one prophecy at a time (locking 6 slots)
#locked:The Hardened Armour
#locked:The Sharpened Blade
#locked:Golden Touch
#locked:Lasting Impressions
#locked:Path of Betrayal
#locked:Erased From Memory
#date:2021-04-04
#league:Ritual
#poe-version:3.13.1e
#character-level:1
"item","count"
"Overflowing Riches",174
"Kalandra's Craft",144
"Living Fires",137
"Hidden Reinforcements",132
"Plague of Rats",129
"Visions of the Drowned",125
"Rebirth",121
"Plague of Frogs",119
"The God of Misfortune",113
"The Cursed Choir",103
"Soil, Worms and Blood",79
"Lightning Falls",65
"Fire from the Sky",59
"Ice from Above",56
"Crushing Squall",50
"Deadly Rivalry I",49
"The Undead Storm",45
"From Death Springs Life",16
"Vaal Winds",12
