#notes:data gathered manually one prophecy at a time (no blocking)
#date:2021-04-04
#league:Ritual
#poe-version:3.13.1e
#character-level:1
"item","count"
"The Hardened Armour",128
"The Sharpened Blade",126
"Overflowing Riches",124
"Golden Touch",123
"Lasting Impressions",110
"Path of Betrayal",100
"Visions of the Drowned",99
"Hidden Reinforcements",88
"Erased from Memory",85
"Living Fires",73
"Plague of Rats",71
"Soil, Worms and Blood",69
"Kalandra's Craft",68
"The God of Misfortune",68
"Plague of Frogs",68
"Rebirth",64
"The Cursed Choir",56
"Fire from the Sky",42
"Lightning Falls",36
"Ice from Above",29
"Crushing Squall",27
"Deadly Rivalry I",26
"The Undead Storm",22
"From Death Springs Life",17
"Vaal Winds",9
