#notes:data gathered manually filling all prophecies in navali interface then sealing them all
#date:2021-01-10
#league:Heist
#poe-version:3.12.5d
#character-level:20
#courtesy-of:vidada
"item","count"
"The Forgotten Garrison",18
"Undead Uprising",18
"The Plaguemaw I",14
"Hunter's Lesson",13
"The Feral Lord I",13
"Resistant to Change",13
"Overflowing Riches",11
"The Unbreathing Queen I",10
"Ending the Torment",10
"The Hardened Armour",8
"The God of Misfortune",8
"Touched by the Wind",8
"Rebirth",7
"Vital Transformation",7
"The Brothers of Necromancy",7
"The Twins",6
"The Undead Brutes",6
"Hidden Reinforcements",5
"Waiting in Ambush",5
"Reforged Bonds",5
"Hidden Vaal Pathways",5
"The Wealthy Exile",5
"The Hungering Swarm",4
"Plague of Frogs",4
"Risen Blood",4
"The Warmongers I",4
"The Invader",4
"Possessed Foe",4
"Deadly Rivalry I",4
"The Prison Key",3
"The Corrupt",3
"Plague of Rats",3
"Forceful Exorcism",3
"Soil, Worms and Blood",3
"The Scout",3
"The Singular Spirit",3
"The Ambitious Bandit I",3
"Erasmus' Gift",3
"Gilded Within",2
"Kalandra's Craft",2
"Thaumaturgical History I",2
"A Master Seeks Help",1
"Fire from the Sky",1
"The Cursed Choir",1
"The Trembling Earth",1
"Vaal Winds",1
"Roth's Legacy",1
"The Snuffed Flame",1
"A Firm Foothold",1
"Crushing Squall",1
"The Sinner's Stone",1
"Heavy Blows",1
"The Undead Storm",1
"Ice from Above",1
"Golden Touch",1
"Beyond Sight I",1
"Lightning Falls",1
