#locked: lasting impressions
#locked: the sharpened blade
#locked: golden touch
#locked: the hardened armour
#locked: beyond sight
#locked: erased from memory
#date:2021-01-10
#league:Heist
#poe-version:3.12.5d
#character-level:40
#courtesy-of:vidada
"item","count"
"The Unbreathing Queen I",19
"Unbearable Whispers I",11
"Gilded Within",11
"Overflowing Riches",10
"The Mysterious Gift",10
"Possessed Foe",10
"Hunter's Lesson",9
"The Feral Lord I",9
"The Undead Brutes",9
"The Corrupt",8
"Soil, Worms and Blood",8
"Plague of Frogs",7
"Beyond Sight I",7
"The Plaguemaw I",6
"The Alchemist",6
"The Cursed Choir",6
"The Twins",6
"Waiting in Ambush",6
"Forceful Exorcism",6
"Ending the Torment",5
"Plague of Rats",5
"Hidden Vaal Pathways",5
"Twice Enchanted",5
"Kalandra's Craft",5
"Day of Sacrifice I",5
"The God of Misfortune",5
"Risen Blood",5
"A Regal Death",4
"Hidden Reinforcements",4
"The Wealthy Exile",4
"The Invader",4
"The Lady in Black",3
"The Hungering Swarm",3
"An Unseen Peril",3
"The Eagle's Cry",3
"Reforged Bonds",3
"Thaumaturgical History I",3
"The Ambitious Bandit I",3
"Rebirth",3
"Nature's Resilience",3
"The Scout",2
"The Trembling Earth",2
"From Death Springs Life",2
"A Master Seeks Help",2
"The King and the Brambles",2
"The Beginning and the End",2
"The Brothers of Necromancy",1
"A Firm Foothold",1
"A Forest of False Idols",1
"Crushing Squall",1
"Fire from the Sky",1
"Graceful Flames",1
"Fear's Wide Reach",1
"Custodians of Silence",1
"The Misunderstood Queen",1
"The Snuffed Flame",1
"Nemesis of Greed",1
"Cleanser of Sins",1
"Trapped in the Tower",1
"Ice from Above",1
"The King's Path",1
"The Undead Storm",1
"Flesh of the Beast",1
"Mouth of Horrors",1
"Severed Limbs",1
"The Servant's Heart",1
"Lightning Falls",1
"The Vanguard",1
