#gathered manually from poedb
item,seal_cost
The Mysterious Gift,1
The Plaguemaw I,1
The Unbreathing Queen I,5
The Hardened Armour,3
Defiled in the Sceptre,3
In the Grasp of Corruption,3
Unnatural Energy,3
Holding the Bridge,3
Golden Touch,3
Unbearable Whispers I,5
Hunter's Lesson,3
The Feral Lord I,5
Lasting Impressions,3
The Sharpened Blade,3
Overflowing Riches,3
The Alchemist,3
The God of Misfortune,3
Beyond Sight I,4
Gilded Within,3
Plague of Rats,2
Forceful Exorcism,1
Hidden Vaal Pathways,2
Ending the Torment,3
The Twins,2
The Wealthy Exile,1
Risen Blood,3
Waiting in Ambush,2
The Brothers of Necromancy,2
Erased from Memory,3
Rebirth,2
Touched by the Wind,3
Possessed Foe,2
Twice Enchanted,1
Hidden Reinforcements,1
Kalandra's Craft,3
The Corrupt,1
Day of Sacrifice I,4
An Unseen Peril,2
The Hungering Swarm,2
"Soil, Worms and Blood",2
The Undead Brutes,2
The Scout,1
The Cursed Choir,2
Plague of Frogs,2
The Invader,2
Vaal Invasion,3
Reforged Bonds,2
Crushing Squall,2
The Trembling Earth,2
The Warmongers I,4
The Singular Spirit,1
The Undead Storm,2
Ice from Above,2
The Ambitious Bandit I,4
Lightning Falls,2
Deadly Rivalry I,4
Erasmus' Gift,1
Fire from the Sky,2
Thaumaturgical History I,4
The Prison Guard,2
A Master Seeks Help,2
The Lady in Black,2
Roth's Legacy,2
From Death Springs Life,2
Vaal Winds,2
Fear's Wide Reach,2
Against the Tide,2
The Prison Key,2
Nature's Resilience,1
Ancient Doom,1
Storm on the Horizon,2
Cleanser of Sins,2
A Firm Foothold,2
The Ward's Ward,2
Trapped in the Tower,1
Graceful Flames,2
Baptism by Death,2
Fire and Brimstone,1
The Petrified,2
The Eagle's Cry,2
The Silverwood,1
The Snuffed Flame,1
The Soulless Beast,2
The Vanguard,2
Custodians of Silence,2
The Brutal Enforcer,2
The Servant's Heart,1
Living Fires,3
Path of Betrayal,3
Visions of the Drowned,2
